route_id,agency_id,route_type,route_sort_order,route_short_name,route_long_name,route_color,route_text_color
410,NXS Detroit,3,59,410,Orchard Lake,0fa82d,ffffff
415,NXS Detroit,3,60,415,Grand Blvd / Wyoming,0fa82d,ffffff
420,NXS Detroit,3,61,420,Commerce / Cass Lake,0fa82d,ffffff
430,NXS Detroit,3,62,430,Wyoming / Ferndale,0fa82d,ffffff
435,NXS Detroit,3,63,435,Highland Lakes,0fa82d,ffffff
440,NXS Detroit,3,64,440,Eleven Mile West,3134ce,ffffff
470,NXS Detroit,3,65,470,Civic Center Drive,3134ce,ffffff
471,NXS Detroit,3,66,471,North Hill Farms,0fa82d,ffffff
500,NXS Detroit,3,67,500,Woodward,cc141d,ffffff
505,NXS Detroit,3,68,505,Woodward to Somerset,cc141d,ffffff
508,NXS Detroit,3,69,508,John R / Hamtramck,cc141d,ffffff
539,NXS Detroit,3,70,539,Dequindre,0fa82d,ffffff
540,NXS Detroit,3,71,540,Walton Blvd,3134ce,ffffff
545,NXS Detroit,3,72,545,Tienken / Dutton,3134ce,ffffff
570,NXS Detroit,3,73,570,Main Street / Big Beaver,0fa82d,ffffff
571,NXS Detroit,3,74,571,Perry / Opdyke,3134ce,ffffff
580,NXS Detroit,3,75,580,Troy Malls Shuttle,c65a0d,ffffff
600,NXS Detroit,3,76,600,Gratiot,cc141d,ffffff
605,NXS Detroit,3,77,605,Van Dyke,cc141d,ffffff
609,NXS Detroit,3,78,609,Schoenherr,cc141d,ffffff
610,NXS Detroit,3,79,610,Mound / Grand Blvd,0fa82d,ffffff
635,NXS Detroit,3,80,635,Garfield,0fa82d,ffffff
680,NXS Detroit,3,81,680,North Clinton,c65a0d,ffffff
700,NXS Detroit,3,82,700,Jefferson / Harper,cc141d,ffffff
705,NXS Detroit,3,83,705,Jefferson / Lakeshore,cc141d,ffffff
709,NXS Detroit,3,84,709,Atwater,cc141d,ffffff
720,NXS Detroit,3,85,720,Mack,c6920d,ffffff
730,NXS Detroit,3,86,730,Kelly / Chalmers,0fa82d,ffffff
740,NXS Detroit,3,87,740,St Clair Park,3134ce,ffffff
750,NXS Detroit,3,88,750,Conner / Kercheval,3134ce,ffffff
800,NXS Detroit,3,89,800,Downtown Detroit Sky Line,149b9e,ffffff
801,NXS Detroit,3,90,801,North Wayne Sky Line,149b9e,ffffff
802,NXS Detroit,3,91,802,South Oakland Sky Line,149b9e,ffffff
803,NXS Detroit,3,92,803,Macomb Sky Line,149b9e,ffffff
804,NXS Detroit,3,93,804,Troy Sky Line,149b9e,ffffff
805,NXS Detroit,3,94,805,Ann Arbor Sky Line,149b9e,ffffff
806,NXS Detroit,3,95,806,West Oakland Sky Line,149b9e,ffffff
807,NXS Detroit,3,96,807,Southfield Freeway Sky Line,149b9e,ffffff
810,NXS Detroit,3,97,810,Imperial Park & Ride,781eb5,ffffff
814,NXS Detroit,3,98,814,Ann Arbor Park & Ride,781eb5,ffffff
816,NXS Detroit,3,99,816,Orchard Lake Park & Ride,781eb5,ffffff
853,NXS Detroit,3,100,853,Ford Road Park & Ride,781eb5,ffffff
869,NXS Detroit,3,101,869,Interstate 696 Park & Ride,781eb5,ffffff
874,NXS Detroit,3,102,874,Downriver Express Line,781eb5,ffffff
875,NXS Detroit,3,103,875,Oakland County Park & Ride,781eb5,ffffff
893,NXS Detroit,3,104,893,Hayes Express Line,781eb5,ffffff
894,NXS Detroit,3,105,894,Macomb County Park & Ride,781eb5,ffffff
895,NXS Detroit,3,106,895,Grand River / Beech Daly Park & Ride,781eb5,ffffff
896,NXS Detroit,3,107,896,Interstate 96 Park & Ride,781eb5,ffffff
900,NXS Detroit,3,108,900,Monroe,4f3107,ffffff
901,NXS Detroit,3,109,901,Monroe / Metro Airport,4f3107,ffffff
912,NXS Detroit,3,110,912,Plymouth / Ann Arbor,4f3107,ffffff
920,NXS Detroit,3,111,920,West Grand River,4f3107,ffffff
922,NXS Detroit,3,112,922,Ten Mile Edge,4f3107,ffffff
923,NXS Detroit,3,113,923,Pontiac Trail,4f3107,ffffff
924,NXS Detroit,3,114,924,West Highland,4f3107,ffffff
925,NXS Detroit,3,115,925,Milford Road,4f3107,ffffff
930,NXS Detroit,3,116,930,Northwest Dixie,4f3107,ffffff
931,NXS Detroit,3,117,931,Lapeer Road,4f3107,ffffff
940,NXS Detroit,3,118,940,North Gratiot,4f3107,ffffff
941,NXS Detroit,3,119,941,North Van Dyke,4f3107,ffffff
942,NXS Detroit,3,120,942,Michigan 29,4f3107,ffffff
943,NXS Detroit,3,121,943,Gratiot / Memphis Ridge,4f3107,ffffff
944,NXS Detroit,3,122,944,Armada Ridge,4f3107,ffffff
950,NXS Detroit,3,123,950,Detroit - Windsor Tunnel,e295be,000000
952,NXS Detroit,3,124,952,Canadian Sky Line,e295be,000000
