route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name
006,weekday,006-79,Grosse Pointe Nexus,1,0066,
006,weekday,006-80,Grosse Pointe Nexus,1,0066,
006,weekday,006-81,Grosse Pointe Nexus,1,0066,
006,weekday,006-82,Grosse Pointe Nexus,1,0066,
006,weekday,006-83,Grosse Pointe Nexus,1,0066,
006,weekday,006-84,Grosse Pointe Nexus,1,0066,
006,weekday,006-85,Grosse Pointe Nexus,1,0066,
006,weekday,006-86,Grosse Pointe Nexus,1,0066,
006,weekday,006-87,Grosse Pointe Nexus,1,0066,
006,weekday,006-88,Grosse Pointe Nexus,1,0066,
006,weekday,006-89,Grosse Pointe Nexus,1,0066,
006,weekday,006-90,Grosse Pointe Nexus,1,0066,
006,weekday,006-91,Grosse Pointe Nexus,1,0066,
006,weekday,006-92,Grosse Pointe Nexus,1,0066,
006,weekday,006-93,Grosse Pointe Nexus,1,0066,
006,weekday,006-94,Grosse Pointe Nexus,1,0066,
006,weekday,006-95,Grosse Pointe Nexus,1,0066,
006,weekday,006-96,Grosse Pointe Nexus,1,0066,
006,weekday,006-97,Grosse Pointe Nexus,1,0066,
006,weekday,006-98,Grosse Pointe Nexus,1,0066,
006,weekday,006-99,Grosse Pointe Nexus,1,0066,
006,weekday,006-100,Grosse Pointe Nexus,1,0066,
006,weekday,006-101,Grosse Pointe Nexus,1,0066,
006,weekday,006-102,Grosse Pointe Nexus,1,0066,
006,weekday,006-103,Grosse Pointe Nexus,1,0066,
006,weekday,006-104,Schoolcraft College,0,0064,
006,weekday,006-105,Schoolcraft College,0,0064,
006,weekday,006-106,Schoolcraft College,0,0064,
006,weekday,006-107,Schoolcraft College,0,0064,
006,weekday,006-108,Schoolcraft College,0,0064,
006,weekday,006-109,Schoolcraft College,0,0064,
006,weekday,006-110,Schoolcraft College,0,0064,
006,weekday,006-111,Schoolcraft College,0,0064,
006,weekday,006-112,Schoolcraft College,0,0064,
006,weekday,006-113,Schoolcraft College,0,0064,
006,weekday,006-114,Schoolcraft College,0,0064,
006,weekday,006-115,Schoolcraft College,0,0064,
006,weekday,006-116,Schoolcraft College,0,0064,
006,weekday,006-117,Schoolcraft College,0,0064,
006,weekday,006-118,Schoolcraft College,0,0064,
006,weekday,006-119,Schoolcraft College,0,0064,
006,weekday,006-120,Schoolcraft College,0,0064,
006,weekday,006-121,Schoolcraft College,0,0064,
006,weekday,006-122,Schoolcraft College,0,0064,
006,weekday,006-123,Schoolcraft College,0,0064,
006,weekday,006-124,Schoolcraft College,0,0064,
006,weekday,006-125,Schoolcraft College,0,0064,
006,weekday,006-126,Schoolcraft College,0,0064,
006,weekday,006-127,Schoolcraft College,0,0064,
006,weekday,006-128,Schoolcraft College,0,0064,
006,weekday,006-129,Schoolcraft College,0,0064,
006,weekday,006-130,Schoolcraft College,0,0064,
006,weekday,006-131,Schoolcraft College,0,0064,
006,weekday,006-132,Schoolcraft College,0,0064,
006,weekday,006-133,Schoolcraft College,0,0064,
006,weekday,006-134,Schoolcraft College,0,0064,
006,weekday,006-135,Schoolcraft College,0,0064,
006,weekday,006-136,Schoolcraft College,0,0064,
006,weekday,006-137,Schoolcraft College,0,0064,
006,weekday,006-138,Schoolcraft College,0,0064,
006,weekday,006-139,Schoolcraft College,0,0064,
006,weekday,006-140,Schoolcraft College,0,0064,
006,weekday,006-141,Schoolcraft College,0,0064,
006,weekday,006-142,Schoolcraft College,0,0064,
006,weekday,006-143,Schoolcraft College,0,0064,
006,weekday,006-144,Schoolcraft College,0,0064,
006,weekday,006-145,Schoolcraft College,0,0064,
006,weekday,006-146,Schoolcraft College,0,0064,
006,weekday,006-147,Schoolcraft College,0,0064,
006,weekday,006-148,Schoolcraft College,0,0064,
006,weekday,006-149,Schoolcraft College,0,0064,
006,weekday,006-150,Schoolcraft College,0,0064,
